# Time-averaged data for fix rdf
# TimeStep Number-of-rows
# Row c_gofr[1] c_gofr[2] c_gofr[3] c_gofr[4] c_gofr[5] c_gofr[6] c_gofr[7]
10000 500
1 0.015 0 0 0 0 0 0
2 0.045 0 0 0 0 0 0
3 0.075 0 0 0 0 0 0
4 0.105 0 0 0 0 0 0
5 0.135 0 0 0 0 0 0
6 0.165 0 0 0 0 0 0
7 0.195 0 0 0 0 0 0
8 0.225 0 0 0 0 0 0
9 0.255 0 0 0 0 0 0
10 0.285 0 0 0 0 0 0
11 0.315 0 0 0 0 0 0
12 0.345 0 0 0 0 0 0
13 0.375 0 0 0 0 0 0
14 0.405 0 0 0 0 0 0
15 0.435 0 0 0 0 0 0
16 0.465 0 0 0 0 0 0
17 0.495 0 0 0 0 0 0
18 0.525 0 0 0 0 0 0
19 0.555 0 0 0 0 0 0
20 0.585 0 0 0 0 0 0
21 0.615 0 0 0 0 0 0
22 0.645 0 0 0 0 0 0
23 0.675 0 0 0 0 0 0
24 0.705 0 0 0 0 0 0
25 0.735 0 0 0 0 0 0
26 0.765 0 0 0 0 0 0
27 0.795 0 0 0 0 0 0
28 0.825 0 0 0 0 0 0
29 0.855 0 0 0 0 0 0
30 0.885 0 0 0 0 0 0
31 0.915 0 0 0 0 0 0
32 0.945 0 0 0 0 0 0
33 0.975 0 0 0 0 0 0
34 1.005 0 0 0 0 0 0
35 1.035 0 0 0 0 0 0
36 1.065 0 0 0 0 0 0
37 1.095 0 0 0 0 0 0
38 1.125 0 0 0 0 0 0
39 1.155 0 0 0 0 0 0
40 1.185 0 0 0 0 0 0
41 1.215 0 0 0 0 0 0
42 1.245 0 0 0 0 0 0
43 1.275 0 0 0 0 0 0
44 1.305 0 0 0 0 0 0
45 1.335 0 0 0 0 0 0
46 1.365 0 0 0 0 0 0
47 1.395 0 0 0 0 0 0
48 1.425 0 0 0 0 0 0
49 1.455 0 0 0 0 0 0
50 1.485 0 0 0 0 1.83563e-06 1.07021e-08
51 1.515 9.09857e-07 1.07021e-07 0 0 7.5837e-05 4.7089e-07
52 1.545 4.54931e-06 6.63527e-07 0 0 0.000437523 3.23202e-06
53 1.575 1.61637e-05 2.71832e-06 0 0 0.00171506 1.44799e-05
54 1.605 9.89031e-05 1.57748e-05 0 0 0.00745634 6.52611e-05
55 1.635 0.000547312 9.07534e-05 0 0 0.0238271 0.000233658
56 1.665 0.00269082 0.000473031 0 0 0.0627637 0.000693664
57 1.695 0.0114329 0.00215634 5.47418e-05 4.14938e-07 0.141589 0.00176912
58 1.725 0.0380518 0.00795888 0.000317126 2.90456e-06 0.279798 0.00397027
59 1.755 0.105468 0.024606 0.00163401 1.61826e-05 0.486571 0.00793237
60 1.785 0.243818 0.0644173 0.00651564 7.09544e-05 0.767364 0.0143964
61 1.815 0.483165 0.145984 0.0417271 0.00043361 1.10568 0.024026
62 1.845 0.832367 0.291186 0.182593 0.00207344 1.46687 0.0372271
63 1.875 1.27733 0.521315 0.58063 0.00745892 1.82108 0.0541532
64 1.905 1.77332 0.851106 1.38409 0.0207108 2.13247 0.0746127
65 1.935 2.26561 1.28583 2.72288 0.0476083 2.37515 0.0981241
66 1.965 2.69199 1.8185 4.5246 0.0937004 2.53679 0.12402
67 1.995 3.01207 2.43285 6.36366 0.160522 2.62062 0.151595
68 2.025 3.20483 3.10631 7.98525 0.246911 2.62141 0.180014
69 2.055 3.26539 3.81299 9.17475 0.349132 2.54896 0.208472
70 2.085 3.21228 4.52862 9.85429 0.462152 2.43797 0.236492
71 2.115 3.06953 5.23227 9.90908 0.579095 2.29429 0.263625
72 2.145 2.86814 5.90853 9.47042 0.694055 2.12191 0.289436
73 2.175 2.62763 6.54554 8.7181 0.802863 1.94508 0.313762
74 2.205 2.37582 7.1375 7.76731 0.902497 1.76989 0.336512
75 2.235 2.12335 7.68104 6.80341 0.992157 1.60259 0.357676
76 2.265 1.88375 8.17629 5.86661 1.07156 1.44772 0.377312
77 2.295 1.66594 8.62595 4.97432 1.14068 1.30516 0.395486
78 2.325 1.46859 9.03278 4.20262 1.20062 1.17672 0.412302
79 2.355 1.29512 9.40087 3.54721 1.25252 1.06317 0.427891
80 2.385 1.14548 9.73477 3.00166 1.29757 0.965564 0.442411
81 2.415 1.016 10.0384 2.52879 1.33648 0.872378 0.455863
82 2.445 0.905034 10.3157 2.15548 1.37047 0.79563 0.468437
83 2.475 0.811698 10.5705 1.87773 1.40082 0.731495 0.480283
84 2.505 0.732147 10.8059 1.59381 1.42721 0.675543 0.49149
85 2.535 0.666351 11.0254 1.40041 1.45095 0.626883 0.502141
86 2.565 0.611916 11.2317 1.23403 1.47237 0.587713 0.512363
87 2.595 0.566183 11.4271 1.11278 1.49214 0.553278 0.522213
88 2.625 0.528146 11.6136 0.979548 1.50995 0.525483 0.531786
89 2.655 0.498422 11.7936 0.888347 1.52647 0.503849 0.541176
90 2.685 0.47425 11.9688 0.8469 1.54257 0.486438 0.550447
91 2.715 0.456773 12.1414 0.790906 1.55796 0.471606 0.559637
92 2.745 0.442598 12.3123 0.738041 1.57263 0.464521 0.568891
93 2.775 0.434162 12.4836 0.706893 1.58699 0.459313 0.578242
94 2.805 0.429628 12.6568 0.67922 1.60109 0.45724 0.587753
95 2.835 0.429431 12.8337 0.670126 1.6153 0.459704 0.597521
96 2.865 0.432095 13.0155 0.664999 1.6297 0.466786 0.60765
97 2.895 0.438103 13.2036 0.646278 1.64399 0.475397 0.618184
98 2.925 0.447523 13.3998 0.64842 1.65862 0.485429 0.629164
99 2.955 0.460092 13.6057 0.654197 1.6737 0.50119 0.640734
100 2.985 0.476458 13.8233 0.662719 1.68927 0.519595 0.652973
101 3.015 0.495666 14.0542 0.6951 1.70594 0.539752 0.665945
102 3.045 0.518345 14.3005 0.71387 1.72341 0.562308 0.679729
103 3.075 0.544858 14.5645 0.742939 1.74194 0.59068 0.694495
104 3.105 0.574407 14.8483 0.763791 1.76137 0.622053 0.71035
105 3.135 0.607678 15.1543 0.78861 1.78182 0.655455 0.727381
106 3.165 0.645088 15.4855 0.81617 1.80339 0.692769 0.745727
107 3.195 0.685366 15.844 0.856411 1.82645 0.732842 0.765505
108 3.225 0.729884 16.233 0.898031 1.85109 0.776126 0.786845
109 3.255 0.776885 16.6548 0.938215 1.87732 0.821591 0.809858
110 3.285 0.826686 17.112 0.969064 1.90491 0.866497 0.834579
111 3.315 0.878717 17.6068 1.01128 1.93423 0.913544 0.86112
112 3.345 0.931594 18.141 1.06531 1.96567 0.961177 0.889552
113 3.375 0.984653 18.7158 1.09352 1.99853 1.01029 0.919976
114 3.405 1.03734 19.3321 1.13844 2.03336 1.05323 0.952259
115 3.435 1.08756 19.9897 1.18514 2.07025 1.10011 0.986576
116 3.465 1.13575 20.6885 1.22114 2.10893 1.14411 1.02289
117 3.495 1.17973 21.427 1.24476 2.14904 1.18026 1.06101
118 3.525 1.21911 22.2032 1.27327 2.19078 1.21271 1.10084
119 3.555 1.25375 23.0152 1.28919 2.23377 1.2416 1.14233
120 3.585 1.28385 23.8608 1.2995 2.27783 1.26837 1.18542
121 3.615 1.30831 24.737 1.30633 2.32287 1.29002 1.22999
122 3.645 1.32831 25.6413 1.32342 2.36926 1.30815 1.27594
123 3.675 1.34281 26.5707 1.30932 2.41591 1.32038 1.32309
124 3.705 1.35373 27.523 1.31295 2.46346 1.33295 1.37146
125 3.735 1.36104 28.496 1.27648 2.51044 1.34085 1.42091
126 3.765 1.36476 29.4874 1.26679 2.55781 1.34569 1.47134
127 3.795 1.36565 30.4953 1.25242 2.6054 1.34727 1.52264
128 3.825 1.36463 31.5184 1.24546 2.65348 1.34779 1.57477
129 3.855 1.36186 32.5556 1.22791 2.70162 1.34283 1.62753
130 3.885 1.35597 33.6043 1.20037 2.74942 1.33367 1.68074
131 3.915 1.34652 34.662 1.18326 2.79726 1.32032 1.73425
132 3.945 1.33502 35.7267 1.16947 2.84528 1.30691 1.78802
133 3.975 1.31911 36.7948 1.14862 2.89316 1.28911 1.84187
134 4.005 1.301 37.8642 1.11741 2.94045 1.26782 1.89563
135 4.035 1.27867 38.931 1.0952 2.98749 1.24144 1.94907
136 4.065 1.25179 39.9911 1.06589 3.03396 1.21004 2.00193
137 4.095 1.22108 41.0404 1.04817 3.08033 1.17987 2.05423
138 4.125 1.1873 42.0757 1.01526 3.12591 1.14675 2.10582
139 4.155 1.15129 43.0942 0.972919 3.17022 1.11241 2.15659
140 4.185 1.11361 44.0937 0.94115 3.21371 1.07697 2.20646
141 4.215 1.0746 45.0721 0.908414 3.25629 1.03951 2.25528
142 4.245 1.035 46.0278 0.874419 3.29786 1.00089 2.30297
143 4.275 0.995307 46.96 0.843265 3.33852 0.966171 2.34965
144 4.305 0.956473 47.8684 0.82563 3.37889 0.933153 2.39537
145 4.335 0.918823 48.7532 0.789712 3.41804 0.902845 2.44022
146 4.365 0.883166 49.6155 0.770259 3.45676 0.870553 2.48407
147 4.395 0.850121 50.457 0.743927 3.49467 0.843502 2.52715
148 4.425 0.819787 51.2796 0.722203 3.53198 0.819004 2.56955
149 4.455 0.79269 52.0859 0.694774 3.56835 0.79567 2.61129
150 4.485 0.769276 52.8788 0.691703 3.60506 0.777734 2.65265
151 4.515 0.748819 53.6611 0.66573 3.64087 0.763187 2.69378
152 4.545 0.731905 54.4359 0.655547 3.67659 0.750639 2.73478
153 4.575 0.719197 55.2073 0.65214 3.7126 0.741868 2.77583
154 4.605 0.709804 55.9786 0.652252 3.7491 0.736419 2.81711
155 4.635 0.703845 56.7535 0.652064 3.78605 0.733286 2.85876
156 4.665 0.702224 57.5366 0.656164 3.82373 0.735558 2.90108
157 4.695 0.70411 58.332 0.659321 3.86207 0.740485 2.94423
158 4.725 0.709573 59.1438 0.662733 3.9011 0.747349 2.98834
159 4.755 0.718552 59.9764 0.680135 3.94167 0.757914 3.03365
160 4.785 0.731229 60.8344 0.691533 3.98345 0.77203 3.08038
161 4.815 0.746725 61.7215 0.704176 4.02652 0.787979 3.12868
162 4.845 0.765111 62.6419 0.729325 4.07169 0.807506 3.17879
163 4.875 0.786116 63.5993 0.750481 4.11874 0.828446 3.23084
164 4.905 0.809545 64.5974 0.761895 4.1671 0.851956 3.28503
165 4.935 0.836055 65.6409 0.776516 4.21699 0.877801 3.34155
166 4.965 0.864525 66.733 0.804503 4.26931 0.903042 3.4004
167 4.995 0.894274 67.8764 0.824742 4.3236 0.929076 3.46168
168 5.025 0.924183 69.0722 0.859291 4.38085 0.956891 3.52556
169 5.055 0.954905 70.3227 0.877588 4.44001 0.983052 3.59197
170 5.085 0.98541 71.6284 0.896448 4.50116 1.01333 3.66124
171 5.115 1.0155 72.9899 0.916285 4.56441 1.03905 3.73311
172 5.145 1.04455 74.4069 0.934667 4.62968 1.06569 3.80769
173 5.175 1.07211 75.8782 0.964002 4.69779 1.0897 3.88484
174 5.205 1.09805 77.4027 0.982129 4.76799 1.11066 3.96439
175 5.235 1.12219 78.9787 0.991616 4.83969 1.12912 4.0462
176 5.265 1.14361 80.6033 0.999724 4.9128 1.14731 4.13028
177 5.295 1.16217 82.273 1.00384 4.98705 1.16038 4.21629
178 5.325 1.17732 83.9838 1.01924 5.0633 1.1737 4.30428
179 5.355 1.18852 85.7304 1.03946 5.14194 1.18094 4.3938
180 5.385 1.19664 87.5086 1.04337 5.22176 1.18627 4.48475
181 5.415 1.20218 89.315 1.03721 5.302 1.19019 4.57701
182 5.445 1.20424 91.1447 1.03395 5.38287 1.19102 4.67036
183 5.475 1.20401 92.9941 1.03775 5.46494 1.18974 4.76465
184 5.505 1.20029 94.8582 1.03861 5.54798 1.18522 4.85961
185 5.535 1.1942 96.733 1.03277 5.63146 1.17949 4.95514
186 5.565 1.18658 98.6162 1.0192 5.71473 1.17123 5.05103
187 5.595 1.17634 100.503 1.01969 5.79894 1.16033 5.14706
188 5.625 1.16459 102.392 1.01459 5.88364 1.14819 5.2431
189 5.655 1.1518 104.279 1.00575 5.96849 1.13602 5.33915
190 5.685 1.1381 106.164 0.993485 6.0532 1.123 5.4351
191 5.715 1.12356 108.045 0.979817 6.13763 1.10941 5.5309
192 5.745 1.10815 109.919 0.974143 6.22245 1.09586 5.62652
193 5.775 1.09265 111.786 0.96054 6.30697 1.08238 5.72195
194 5.805 1.077 113.646 0.950441 6.39146 1.06934 5.81722
195 5.835 1.06196 115.499 0.949258 6.47673 1.05493 5.91217
196 5.865 1.04705 117.345 0.936993 6.56176 1.04047 6.00679
197 5.895 1.0326 119.184 0.918238 6.64595 1.0273 6.10117
